COUNTY,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Barbour,44.8,45.7,36.7,51.3,49.4,48.9,53.8,51.5,48.4,53.5,54.5,55.6,51.5,54.5,57.9,58.78,52.17,69.23
Berkeley,52.7,57.2,58.3,58.5,60.7,58,60.9,57.9,60.6,61.7,51.3,55.1,51.1,47.5,52.1,50.19,49.04,46.11
Boone*,43.9,55.2,43.8,51.3,56.5,55,52.2,52.5,57.1,51.4,44.2,51.5,47.6,52.7,55.7,59.59,52.71,56.03
Braxton,46.7,42.8,60.6,38.7,39,42.1,54.9,38.4,38.5,54.4,50.4,46.8,53.9,52.3,51.7,54.67,43.92,48.75
Brooke,52.4,61.1,61.6,56.5,60.4,66,61.4,59.4,63.3,63.3,64,64.7,59.9,56.8,58.7,55.25,60.71,65.86
Cabell,59.4,60.6,60.6,58.6,62.5,60,62.9,62.8,63.1,66.6,67.9,61,58,62.7,62.2,69.66,62.8,60.68
Calhoun,36.1,23,32.4,33.8,28.4,36.5,34.2,47.2,58.2,37.1,46.1,36.6,40.8,52.2,43.5,54.55,45.1,70.24
Clay,41.4,44.7,53.2,41.1,41.1,51.5,47.4,50,44,35.9,40.2,37.4,49.1,43.8,45.1,45.3,45.97,44.97
Doddridge,43.6,48.4,40.5,27.2,42,43.6,38.8,32.2,54.4,48.8,47.8,45.2,45.6,50.6,73.6,60,51.49,53.15
Fayette,45.9,45.3,44.3,46.3,45.1,46,45.9,47.9,43.9,45.1,47.4,43.5,42.8,45.9,43.8,44.62,51.65,48.99
Gilmer,62.9,43.5,57.4,64.6,62.5,54.5,53.2,75.8,51.7,58.7,53.2,52,57.3,53.9,54.9,53.16,53.52,51.58
Grant,54.1,52.4,51.5,47.1,50,48.4,51.8,50.5,60.4,59.2,57.1,50.4,47.8,53.9,48.6,48.53,42.97,50
Greenbrier,45.4,51.7,54.5,51.9,48,57.5,51.1,57.7,56.6,55.7,52.9,51.3,56.1,51.1,57.1,57.32,54.39,58.4
Hampshire,45.2,37.2,37.4,39.3,38,43.4,44.8,52,49.6,42.9,52.5,57.5,52.1,51.6,55.6,41.31,42.21,42.92
Hancock,58.7,54,60.2,56,70.4,67.1,63.7,68.2,67.4,70.1,69.9,63.9,59.6,69.1,62.8,61.24,58.71,55.23
Hardy,42.1,58.2,43.4,58.4,60.8,61.7,61.4,69.2,62.3,67.4,59.3,54.6,55.8,54.5,48.9,46.03,46.28,62.1
Harrison,57.9,60.4,59.2,57.4,53.2,57.6,63.1,63.2,61.5,64.3,65.3,63.7,65.1,68.8,88,84.06,82.08,61.07
Jackson,56.6,52.9,56.5,51.4,54.7,59.9,62,65.5,60.8,62.8,58.7,58.1,61.5,62.7,62.3,66.56,57.37,57.19
Jefferson,60.1,61.6,62.8,60.2,60.4,64,62.1,65.5,61.4,53.5,71.8,59.7,54.5,53.8,51.5,56.73,48.09,41.9
Kanawha,56.1,56.2,54.1,56,57,62.3,60.5,60.5,63,74,60,64.1,67.7,65.5,65,67.22,64.36,68.96
Lewis,46.7,41.5,47.2,52.1,42.1,51.8,55.6,45.6,50.6,59.3,58,54.3,50,55.4,66.1,79.53,54.36,54.87
Lincoln,39.9,43.9,43.6,48.6,41.4,40.3,56.1,48.4,39.5,55.4,45.3,41.5,48.8,44.2,39.8,42.24,37.23,44.66
Logan,53.6,51.9,59.2,58.8,59.3,46.7,59.8,52.4,51.3,54.1,50,53.9,55.5,56.1,51.6,54.09,49.03,48.45
Marion,56.3,62.3,52.8,53.3,54.8,55.3,50.8,62.9,63.8,64.2,61.7,60.7,68.4,62.9,60.9,58.97,60.41,65.38
Marshall,48.4,50.6,52.2,51.3,57.9,51.9,58.1,61.7,67.3,73.9,66.3,63.2,65,66.5,68.4,62.4,58.24,68.3
Mason,38.9,47.7,49.8,48.8,50,46.9,50,59.2,61.4,55.4,60.4,53.2,46,57.7,53.5,53.22,51.09,47.91
McDowell,34.7,37.5,40.3,41.3,42.4,34.7,25,25.6,22,32,35.3,38.5,33.2,36.8,42.6,39.84,35.95,37.34
Mercer,44.7,45.6,51.2,49.9,50.5,49.9,45.4,50.5,53.2,54.9,57.8,52.8,48.6,52.6,57,53.4,56.59,55.08
Mineral,50.5,61.6,66.3,61.4,63.9,58.9,68.1,59.9,61,68.5,61,56.8,60.3,61.4,66.8,57.43,55.48,56.19
Mingo*,54.6,51,50.6,55.3,47.8,50.2,47.6,48.5,54.1,47.8,45.6,47.2,54.8,58.8,58.4,50.18,47.42,48.55
Monongalia*,61.8,69.4,66,70.8,63.8,68.1,67.7,72.3,71.3,72.6,68.4,73.9,72.5,78.2,70.3,68.58,60.31,66.62
Monroe,49.6,45,33.6,42,48.4,48,42.7,46,61.9,46.2,43.1,53.3,45.7,47.8,58.3,56.34,42.71,46.48
Morgan,35.9,41.9,53.4,56.3,65.3,44.5,53.4,49.4,48.3,48.6,54.3,51.8,53.4,48.5,46,33.79,35.97,51.09
Nicholas,47.3,46.9,52.3,48.6,44,43.2,42.6,52.5,51.1,51.5,48,49.6,49.2,52.9,49,51.51,48.56,52.23
Ohio,72.7,70.4,71.5,70.6,73.6,63.7,70.9,74.3,71.8,83.1,76.4,70,83.6,80.8,79.8,76.38,81.56,81.91
Pendleton,58.9,48.8,51.4,51.5,58.5,46.5,54.8,77.3,62.4,49.2,64.7,58.1,61.5,54,43.9,57.65,56.32,62.5
Pleasants,48,55.1,34.5,44.2,36,55.6,65.7,55.2,58.2,62.7,48.4,56.3,56,61.6,61.7,62.07,53.26,51.52
Pocahontas,35.4,47.4,62.3,51.4,56.4,63.9,55.8,54.9,75.3,67.5,56.2,45.8,59.8,54.4,55.1,59.77,45.74,51.11
Preston,47.3,41.8,44.6,39.6,37.2,47.5,46.3,51.4,53.4,44.5,49.8,54.3,49,52.7,50.3,51.27,43.59,48.38
Putnam,59,63.1,64.3,66.8,65.9,67.1,64.3,67.4,67.7,70.8,75,64.9,66.4,64.1,72,63.9,62.33,60.99
Raleigh*,50.7,50.4,52.1,51.8,47.7,44.8,46.6,47,41.8,51.8,51.5,45.8,42.1,48.8,49.9,54.97,49.8,46.45
Randolph,43.9,52.9,48.3,49.5,47.9,54.3,52.7,57.6,60.3,62.9,49.3,58.7,60.2,54.8,65.1,52.56,59.59,56.62
Ritchie,40.4,44.3,58.3,47.4,36.8,50.5,53.4,54.5,73.2,59.1,47.8,68.3,64,64.3,59.4,59.63,55.75,72.03
Roane,41.7,41.8,54.2,44.1,42.2,38.1,51.4,38.4,53.6,54.6,46.1,48.4,56.4,38.7,50.3,44.16,40.23,43.46
Summers,55.9,39.6,46.6,54,60.2,58.5,50,56.2,42.3,57.1,34.5,43.2,44.9,46.2,47.2,58.51,37.86,45.53
Taylor,49.3,48.4,45.7,39.8,41.5,61,53,70.3,62.4,59.3,52.1,53.9,46.3,48.4,78.1,58.08,75.52,51.48
Tucker,50,54.9,55.8,54.2,48.8,56.8,51.1,54.5,45.4,61.1,56.1,47.7,50,52.9,62.4,50.62,47.57,50.53
Tyler,54.1,50.5,62.6,53.8,52.5,61.8,53.8,49.6,65.2,60.4,61.4,66.4,63.7,64.2,64.5,69.81,67,53.64
Upshur,42.1,46.7,47,47.2,36.9,44.6,47.2,50.2,50,49.1,55.1,54.3,57.1,54.2,71.3,72.05,61.29,56.97
Wayne,55.2,60.5,59.1,58.8,51.8,62,57.4,54.1,68.2,67.1,63,63,65,65.2,52.5,48.78,47.76,47.9
Webster,47,55.7,50,43.9,52.6,41.5,50,52.6,41.4,49,44.9,40.6,38.3,42.7,50,40.17,40.87,39.83
Wetzel,50.5,49.5,59,49.1,45,52,46.5,59,60,63.8,62.6,52.6,58.8,56.7,61.2,57.2,63.23,55.91
Wirt,45.7,43.5,50,53.2,50,56.2,66.7,47.5,65.8,57.1,54.7,56.7,59.4,71.7,52.4,56.04,50,54.64
Wood,56.8,58.3,60.6,60.8,61.7,66.4,64.7,66.2,66.8,69.8,74.3,64.9,70.6,71.8,70.5,65.31,65.21,56.76
Wyoming,44.3,46.4,43.7,42.5,43.7,46.7,39,39.7,50.8,49.6,49.2,48.2,46.3,50.4,45.1,47.33,39.35,51.67
TOTAL,52.6,54.5,55,54.7,54.6,55.9,56.4,57.9,58.8,61.5,58.8,57.5,58.3,59.3,60.6,59.39,56.53,56.37
Prior Year,54.5,55,54.7,54.6,55.9,56.4,57.9,58.8,61.5,58.8,57.5,58.3,59.3,59.3,59.4,56.53,56.37,0
Difference,-1.9,-0.6,0.3,0.1,-1.3,-0.5,-1.5,-0.9,-2.7,2.7,1.3,-0.9,-1,0,1.2,2.86,0.16,0
