,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,,2005,,2004,,2003,,2002,,2001
COUNTY, % ,, %,, %,,%,, % ,, % ,, %,, %,, % ,, %,, % ,, %,, % ,, % ,, % ,, % ,, % ,, % 
Barbour,44.8,-0.9,45.7,9.0,36.7,-14.6,51.3,1.9,49.4,0.5,48.9,-4.9,53.8,2.3,51.5,3.1,48.4,-5.1,53.5,-1.0,54.5,-1.1,55.6,4.1,51.5,-3.0,54.5,-3.4,57.9,-0.9,58.78,6.61,52.17,-17.06,69.23
Berkeley,52.7,-4.5,57.2,-1.1,58.3,-0.2,58.5,-2.2,60.7,2.7,58.0,-2.9,60.9,3.0,57.9,-2.7,60.6,-1.1,61.7,10.4,51.3,-3.8,55.1,4.0,51.1,3.6,47.5,-4.6,52.1,1.9,50.19,1.15,49.04,2.93,46.11
Boone*,43.9,-11.3,55.2,11.4,43.8,-7.5,51.3,-5.2,56.5,1.5,55.0,2.8,52.2,-0.3,52.5,-4.6,57.1,5.7,51.4,7.2,44.2,-7.3,51.5,3.9,47.6,-5.1,52.7,-3.0,55.7,-3.9,59.59,6.88,52.71,-3.32,56.03
Braxton,46.7,3.9,42.8,-17.8,60.6,21.9,38.7,-0.3,39.0,-3.1,42.1,-12.8,54.9,16.5,38.4,-0.1,38.5,-15.9,54.4,4.0,50.4,3.6,46.8,-7.1,53.9,1.6,52.3,0.6,51.7,-3.0,54.67,10.75,43.92,-4.83,48.75
Brooke,52.4,-8.7,61.1,-0.5,61.6,5.1,56.5,-3.9,60.4,-5.6,66.0,4.6,61.4,2.0,59.4,-3.9,63.3,0.0,63.3,-0.7,64.0,-0.7,64.7,4.8,59.9,3.1,56.8,-1.9,58.7,3.5,55.25,-5.46,60.71,-5.15,65.86
Cabell,59.4,-1.2,60.6,0.0,60.6,2.0,58.6,-3.9,62.5,2.5,60.0,-2.9,62.9,0.1,62.8,-0.3,63.1,-3.5,66.6,-1.3,67.9,6.9,61.0,3.0,58.0,-4.7,62.7,0.5,62.2,-7.5,69.66,6.86,62.80,2.12,60.68
Calhoun,36.1,13.1,23.0,-9.4,32.4,-1.4,33.8,5.4,28.4,-8.1,36.5,2.3,34.2,-13.0,47.2,-11.0,58.2,21.1,37.1,-9.0,46.1,9.5,36.6,-4.2,40.8,-11.4,52.2,8.7,43.5,-11.1,54.55,9.45,45.10,-25.14,70.24
Clay,41.4,-3.3,44.7,-8.5,53.2,12.1,41.1,0.0,41.1,-10.4,51.5,4.1,47.4,-2.6,50.0,6.0,44.0,8.1,35.9,-4.3,40.2,2.8,37.4,-11.7,49.1,5.3,43.8,-1.3,45.1,-0.2,45.30,-0.67,45.97,1.00,44.97
Doddridge,43.6,-4.8,48.4,7.9,40.5,13.3,27.2,-14.8,42.0,-1.6,43.6,4.8,38.8,6.6,32.2,-22.2,54.4,5.6,48.8,1.0,47.8,2.6,45.2,-0.4,45.6,-5.0,50.6,-23.0,73.6,13.6,60.00,8.51,51.49,-1.66,53.15
Fayette,45.9,0.6,45.3,1.0,44.3,-2.0,46.3,1.2,45.1,-0.9,46.0,0.1,45.9,-2.0,47.9,4.0,43.9,-1.2,45.1,-2.3,47.4,3.9,43.5,0.7,42.8,-3.1,45.9,2.1,43.8,-0.8,44.62,-7.03,51.65,2.66,48.99
Gilmer,62.9,19.4,43.5,-13.9,57.4,-7.2,64.6,2.1,62.5,8.0,54.5,1.3,53.2,-22.6,75.8,24.1,51.7,-7.0,58.7,5.5,53.2,1.2,52.0,-5.3,57.3,3.4,53.9,-1.0,54.9,1.7,53.16,-0.36,53.52,1.94,51.58
Grant,54.1,1.7,52.4,0.9,51.5,4.4,47.1,-2.9,50.0,1.6,48.4,-3.4,51.8,1.3,50.5,-9.9,60.4,1.2,59.2,2.1,57.1,6.7,50.4,2.6,47.8,-6.1,53.9,5.3,48.6,0.1,48.53,5.56,42.97,-7.03,50.00
Greenbrier,45.4,-6.3,51.7,-2.8,54.5,2.6,51.9,3.9,48.0,-9.5,57.5,6.4,51.1,-6.6,57.7,1.1,56.6,0.9,55.7,2.8,52.9,1.6,51.3,-4.8,56.1,5.0,51.1,-6.0,57.1,-0.2,57.32,2.93,54.39,-4.01,58.40
Hampshire,45.2,8.0,37.2,-0.2,37.4,-1.9,39.3,1.3,38.0,-5.4,43.4,-1.4,44.8,-7.2,52.0,2.4,49.6,6.7,42.9,-9.6,52.5,-5.0,57.5,5.4,52.1,0.5,51.6,-4.0,55.6,14.3,41.31,-0.90,42.21,-0.71,42.92
Hancock,58.7,4.7,54.0,-6.2,60.2,4.2,56.0,-14.4,70.4,3.3,67.1,3.4,63.7,-4.5,68.2,0.8,67.4,-2.7,70.1,0.2,69.9,6.0,63.9,4.3,59.6,-9.5,69.1,6.3,62.8,1.6,61.24,2.53,58.71,3.48,55.23
Hardy,42.1,-16.1,58.2,14.8,43.4,-15.0,58.4,-2.4,60.8,-0.9,61.7,0.3,61.4,-7.8,69.2,6.9,62.3,-5.1,67.4,8.1,59.3,4.7,54.6,-1.2,55.8,1.3,54.5,5.6,48.9,2.9,46.03,-0.25,46.28,-15.82,62.10
Harrison,57.9,-2.5,60.4,1.2,59.2,1.8,57.4,4.2,53.2,-4.4,57.6,-5.5,63.1,-0.1,63.2,1.7,61.5,-2.8,64.3,-1.0,65.3,1.6,63.7,-1.4,65.1,-3.7,68.8,-19.2,88.0,3.9,84.06,1.98,82.08,21.01,61.07
Jackson,56.6,3.7,52.9,-3.6,56.5,5.1,51.4,-3.3,54.7,-5.2,59.9,-2.1,62.0,-3.5,65.5,4.7,60.8,-2.0,62.8,4.1,58.7,0.6,58.1,-3.4,61.5,-1.2,62.7,0.4,62.3,-4.3,66.56,9.19,57.37,0.18,57.19
Jefferson,60.1,-1.5,61.6,-1.2,62.8,2.6,60.2,-0.2,60.4,-3.6,64.0,1.9,62.1,-3.4,65.5,4.1,61.4,7.9,53.5,-18.3,71.8,12.1,59.7,5.2,54.5,0.7,53.8,2.3,51.5,-5.2,56.73,8.64,48.09,6.19,41.90
Kanawha,56.1,-0.1,56.2,2.1,54.1,-1.9,56.0,-1.0,57.0,-5.3,62.3,1.8,60.5,0.0,60.5,-2.5,63.0,-11.0,74.0,14.0,60.0,-4.1,64.1,-3.6,67.7,2.2,65.5,0.5,65.0,-2.2,67.22,2.86,64.36,-4.60,68.96
Lewis,46.7,5.2,41.5,-5.7,47.2,-4.9,52.1,10.0,42.1,-9.7,51.8,-3.8,55.6,10.0,45.6,-5.0,50.6,-8.7,59.3,1.3,58.0,3.7,54.3,4.3,50.0,-5.4,55.4,-10.7,66.1,-13.4,79.53,25.17,54.36,-0.51,54.87
Lincoln,39.9,-4.0,43.9,0.3,43.6,-5.0,48.6,7.2,41.4,1.1,40.3,-15.8,56.1,7.7,48.4,8.9,39.5,-15.9,55.4,10.1,45.3,3.8,41.5,-7.3,48.8,4.6,44.2,4.4,39.8,-2.4,42.24,5.01,37.23,-7.43,44.66
Logan,53.6,1.7,51.9,-7.3,59.2,0.4,58.8,-0.5,59.3,12.6,46.7,-13.1,59.8,7.4,52.4,1.1,51.3,-2.8,54.1,4.1,50.0,-3.9,53.9,-1.6,55.5,-0.6,56.1,4.5,51.6,-2.5,54.09,5.06,49.03,0.58,48.45
Marion,56.3,-6.0,62.3,9.5,52.8,-0.5,53.3,-1.5,54.8,-0.5,55.3,4.5,50.8,-12.1,62.9,-0.9,63.8,-0.4,64.2,2.5,61.7,1.0,60.7,-7.7,68.4,5.5,62.9,2.0,60.9,1.9,58.97,-1.44,60.41,-4.97,65.38
Marshall,48.4,-2.2,50.6,-1.6,52.2,0.9,51.3,-6.6,57.9,6.0,51.9,-6.2,58.1,-3.6,61.7,-5.6,67.3,-6.6,73.9,7.6,66.3,3.1,63.2,-1.8,65.0,-1.5,66.5,-1.9,68.4,6.0,62.40,4.16,58.24,-10.06,68.30
Mason,38.9,-8.8,47.7,-2.1,49.8,1.0,48.8,-1.2,50.0,3.1,46.9,-3.1,50.0,-9.2,59.2,-2.2,61.4,6.0,55.4,-5.0,60.4,7.2,53.2,7.2,46.0,-11.7,57.7,4.2,53.5,0.3,53.22,2.13,51.09,3.18,47.91
McDowell,34.7,-2.8,37.5,-2.8,40.3,-1.0,41.3,-1.1,42.4,7.7,34.7,9.7,25.0,-0.6,25.6,3.6,22.0,-10.0,32.0,-3.3,35.3,-3.2,38.5,5.3,33.2,-3.6,36.8,-5.8,42.6,2.8,39.84,3.89,35.95,-1.39,37.34
Mercer,44.7,-0.9,45.6,-5.6,51.2,1.3,49.9,-0.6,50.5,0.6,49.9,4.5,45.4,-5.1,50.5,-2.7,53.2,-1.7,54.9,-2.9,57.8,5.0,52.8,4.2,48.6,-4.0,52.6,-4.4,57.0,3.6,53.40,-3.19,56.59,1.51,55.08
